Processed,Method,URI,Flags
true,GET,http://localhost:3000/,Seed
true,GET,http://localhost:3000/robots.txt,Seed
true,GET,http://localhost:3000/sitemap.xml,Seed
true,GET,http://localhost:3000/ftp,
false,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,Out of Scope
true,GET,http://localhost:3000/assets/public/favicon_js.ico,
true,GET,http://localhost:3000/styles.css,
false,GET,http://fizzed.com/oss/font-mfizz,Out of Scope
false,GET,http://fizzed.com/,Out of Scope
false,GET,http://twitter.com/fizzed_inc,Out of Scope
false,GET,https://github.com/primer/github-syntax-light,Out of Scope
false,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,Out of Scope
false,GET,http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js,Out of Scope
true,GET,http://localhost:3000/polyfills.js,
true,GET,http://localhost:3000/runtime.js,
true,GET,http://localhost:3000/vendor.js,
true,GET,http://localhost:3000/main.js,
false,GET,https://github.com/zloirock/core-js/blob/v3.41.0/LICENSE,Out of Scope
false,GET,https://github.com/zloirock/core-js,Out of Scope
false,GET,http://www.w3.org/2000/svg,Out of Scope
false,GET,https://socket.io/docs/v3/migrating-from-2-x-to-3-0/,Out of Scope
false,GET,https://g.co/ng/security,Out of Scope
false,GET,http://bit.ly/2sd4HMP%5Cn*/%5Cn@media,Out of Scope
false,GET,https://owasp.org/,Out of Scope
false,GET,https://owasp-juice.shop/,Out of Scope
false,GET,http://www.w3.org/1999/xlink,Out of Scope
false,GET,https://www.googleapis.com/oauth2/v1/userinfo?access_token&alt=json,Out of Scope
false,GET,http://www.w3.org/1999/html,Out of Scope
false,GET,https://github.com/juice-shop/juice-shop,Out of Scope
false,GET,https://ponzico.win/ponzico.pdf,Out of Scope
false,GET,https://www.sec.gov/investor/alerts/ia_virtualcurrencies.pdf,Out of Scope
false,GET,https://accounts.google.com/o/oauth2/v2/auth?client_id=$,Out of Scope
false,GET,http://www.w3.org/1999/xhtml,Out of Scope
false,GET,http://www.w3.org/XML/1998/namespace,Out of Scope
false,GET,http://www.w3.org/2000/xmlns/,Out of Scope
false,GET,http://www.w3.org/1998/MathML/,Out of Scope
false,GET,https://www.freeprivacypolicy.com/,Out of Scope
false,GET,https://blockchain.info/address/1AbKfgvw9psQ41NbLi8kufDQTezwG8DRZm,Out of Scope
false,GET,https://explorer.dash.org/address/Xr556RzuwX6hg5EGpkybbv5RanJoZN17kW,Out of Scope
false,GET,https://etherscan.io/address/0x0f933ab9fcaaa782d0279c300d73750e1311eae6,Out of Scope
false,GET,https://pwning.owasp-juice.shop/companion-guide/latest/part3/donations.html,Out of Scope
false,GET,http://shop.spreadshirt.com/juiceshop,Out of Scope
false,GET,http://shop.spreadshirt.de/juiceshop,Out of Scope
false,GET,https://www.stickeryou.com/products/owasp-juice-shop/794,Out of Scope
false,GET,http://leanpub.com/juice-shop,Out of Scope
false,GET,https://opensea.io/collection/juice-shop,Out of Scope
false,GET,https://twitter.com/,Out of Scope
false,GET,https://twitter.com/intent/tweet?text,Out of Scope
false,GET,https://youtube.com/embed/$,Out of Scope
false,GET,https://testnets.opensea.io/0x8343d2eb2B13A2495De435a1b15e85b98115Ce05,Out of Scope
false,GET,https://testnets.opensea.io/assets/mumbai/0xf4817631372dca68a25a18eb7a0b36d54f3dbcf7/0,Out of Scope
